customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C100012,Female,0,No,Yes,54,No,No phone service,No,Yes,Yes,No internet service,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),58.02,3137.27,No
C100013,Female,1,No,No,53,Yes,No,DSL,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),100.12,5304.4,No
C100014,Male,0,Yes,No,54,Yes,No phone service,DSL,No,No internet service,No,Yes,No,No,Month-to-month,No,Mailed check,61.98,3348.51,Yes
C100015,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),78.81,786.5,No
C100016,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,38.28,808.31,No
C100017,Female,0,No,No,36,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),108.83,3913.46,Yes
C100018,Female,0,No,Yes,2,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,85.04,166.08,No
C100019,Female,0,No,No,36,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.56,1496.33,No
C100020,Female,0,No,No,58,Yes,Yes,No,No internet service,No,Yes,No internet service,No,Yes,One year,No,Mailed check,109.32,6336.77,No
C100021,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,One year,No,Credit card (automatic),93.61,4775.06,Yes
C100022,Male,1,No,No,13,Yes,No,DSL,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,61.94,803.36,No
C100023,Female,0,Yes,No,30,No,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),103.15,3090.3,Yes
C100024,Female,0,Yes,No,50,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),107.3,5366.93,No
C100025,Male,0,No,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,74.36,4980.64,Yes
C100026,Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,No,One year,Yes,Credit card (automatic),51.32,2100.82,No
C100027,Male,0,No,No,70,Yes,Yes,No,No internet service,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),38.31,2684.64,Yes
C100028,Female,1,No,No,26,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),24.55,638.51,Yes
C100029,Female,0,No,No,24,Yes,No,Fiber optic,No,No,No internet service,Yes,No,No internet service,One year,Yes,Credit card (automatic),79.02,1896.53,No
C100030,Female,0,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),107.86,3123.46,No
C100031,Male,0,No,Yes,34,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,100.46,3417.49,No
C100032,Male,0,Yes,No,0,Yes,No,No,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),107.68,0.28,No
C100033,Female,0,Yes,Yes,45,No,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,92.69,4169.91,No
C100034,Male,0,Yes,No,47,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No,Yes,Two year,No,Bank transfer (automatic),45.58,2144.57,Yes
C100035,Male,0,No,No,2,Yes,Yes,No,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),27.78,51.43,No
C100036,Male,0,No,No,12,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,32.83,389.91,No
C100037,Male,0,No,Yes,37,Yes,Yes,No,No,No internet service,Yes,Yes,No,No,Two year,No,Electronic check,36.81,1364.03,No
C100038,Male,0,Yes,No,48,Yes,No,DSL,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,79.94,3837.37,No
C100039,Female,0,Yes,No,30,Yes,No,DSL,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),43.29,1296.57,No
C100040,Male,1,No,No,52,Yes,Yes,No,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),67.84,3529.67,No
C100041,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,80.05,5760.65,No
C100042,Male,0,No,No,23,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Electronic check,80.35,1845.52,Yes
C100043,Female,0,Yes,No,42,Yes,No,DSL,Yes,No,No,No internet service,No,No internet service,One year,Yes,Electronic check,49.62,2079.61,Yes
C100044,Female,1,Yes,No,8,No,No,DSL,No internet service,Yes,No internet service,Yes,Yes,No,Two year,No,Bank transfer (automatic),43.1,339.85,Yes
C100045,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,110.05,2644.31,Yes
C100046,Female,0,Yes,No,63,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),76.63,4822.99,No
C100047,Female,0,Yes,No,30,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.3,1927.97,Yes
C100048,Female,0,Yes,No,14,No,Yes,DSL,No,No,No internet service,Yes,No,No,Two year,No,Mailed check,81.43,1135.69,No
C100049,Female,0,No,No,30,Yes,No,DSL,No internet service,No internet service,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),46.44,1397.91,Yes
C100050,Female,0,No,Yes,51,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,No,Two year,No,Mailed check,114.43,5832.06,No
C100051,Male,0,Yes,No,7,Yes,No,Fiber optic,Yes,No internet service,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),69.99,493.5,Yes
C100052,Male,1,No,No,65,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),114.14,7417.38,No
C100053,Male,1,Yes,Yes,33,Yes,Yes,No,No internet service,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),97.13,3207.73,Yes
C100054,Male,0,No,Yes,29,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No,Yes,Two year,No,Bank transfer (automatic),52.06,1513.81,No
C100055,Male,0,No,No,40,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),81.28,3252.66,No
C100056,Male,0,No,No,32,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Electronic check,66.02,2115.77,Yes
C100057,Male,0,Yes,No,21,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),88.12,1852.61,No
C100058,Male,0,No,Yes,10,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,108.4,1087.32,No
C100059,Male,0,No,No,27,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),54.15,1457.84,Yes
C100060,Female,0,No,Yes,54,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Electronic check,111.78,6039.28,No
C100061,Male,0,No,Yes,63,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),41.56,2614.43,No
C100062,Female,0,Yes,Yes,1,Yes,No,No,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,No,Mailed check,82.7,83.81,No
C100063,Female,0,Yes,No,11,No,No phone service,DSL,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.04,300.72,No
C100064,Female,0,Yes,No,35,Yes,Yes,No,Yes,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),21.87,764.34,No
C100065,Male,0,Yes,No,26,Yes,Yes,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),24.98,646.31,No
C100066,Female,0,No,No,49,Yes,No,No,No internet service,No internet service,Yes,Yes,No internet service,Yes,Two year,No,Electronic check,72.05,3534.8,No
C100067,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,93.63,6277.7,No
C100068,Male,0,No,Yes,26,Yes,No phone service,DSL,No,No internet service,No,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),45.66,1191.94,No
C100069,Male,1,Yes,No,52,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,Two year,Yes,Electronic check,59.83,3107.81,No
C100070,Female,0,No,Yes,48,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,73.01,3500.4,Yes
C100071,Male,0,Yes,No,69,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,One year,Yes,Bank transfer (automatic),97.12,6705.48,No
C100072,Male,0,No,No,31,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,No internet service,One year,No,Mailed check,114.15,3533.95,No
C100073,Male,0,Yes,Yes,69,No,Yes,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,85.95,5935.18,Yes
C100074,Female,0,Yes,No,71,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),66.95,4758.45,Yes
C100075,Female,1,Yes,No,13,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),52.11,676.64,Yes
C100076,Female,0,No,Yes,46,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,78.19,3600.78,No
C100077,Male,0,Yes,No,38,No,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,43.6,1660.74,Yes
C100078,Female,0,Yes,No,59,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),86.86,5123.01,Yes
C100079,Male,0,No,No,67,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.9,3341.35,No
C100080,Male,0,No,Yes,23,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,75.99,1742.83,No
C100081,Male,0,No,No,71,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,78.98,5612.11,No
C100082,Female,1,Yes,No,22,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,65.87,1449.01,Yes
C100083,Male,0,No,No,2,No,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),24.75,50.57,No
C100084,Female,0,Yes,No,63,Yes,No phone service,No,No internet service,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),55.28,3484.42,No
C100085,Female,0,Yes,Yes,13,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,No,No,Month-to-month,Yes,Mailed check,67.69,883.2,No
C100086,Female,0,Yes,Yes,55,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,109.81,6043.27,No
C100087,Female,1,No,No,57,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),54.59,3113.54,No
C100088,Male,0,Yes,Yes,1,Yes,No phone service,DSL,No internet service,No,Yes,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),102.31,105.69,Yes
C100089,Female,0,No,No,25,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),20.64,515.58,No
C100090,Female,0,Yes,No,29,Yes,No,No,No,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),62.35,1808.22,No
C100091,Female,0,Yes,No,56,Yes,No,No,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),39.96,2235.35,Yes
C100092,Male,0,No,Yes,7,No,No,DSL,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,67.21,473.53,Yes
C100093,Male,1,Yes,No,30,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),45.45,1364.86,No
C100094,Male,1,No,No,34,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),74.13,2516.67,No
C100095,Female,0,No,Yes,5,Yes,Yes,No,Yes,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),88.88,441.51,No
C100096,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,83.88,750.39,No
C100097,Female,0,Yes,No,50,Yes,No,No,No,No internet service,No,No,No internet service,No internet service,Two year,Yes,Electronic check,22.67,1133.65,No
C100098,Female,0,Yes,No,47,No,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),66.54,3127.91,No
C100099,Male,0,No,No,53,No,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,43.64,2313.96,No
C100100,Male,0,No,Yes,1,Yes,Yes,DSL,No,Yes,No,No,No internet service,No,Two year,No,Mailed check,55.93,52.16,Yes
C100101,Female,1,No,No,0,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),65.37,4.12,No
C100102,Male,0,No,Yes,65,Yes,No,DSL,No,No internet service,No,No,No,No,Two year,Yes,Bank transfer (automatic),79.99,5203.09,No
C100103,Female,1,Yes,No,8,Yes,Yes,No,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),117.98,948.61,No
C100104,Female,1,Yes,Yes,21,Yes,No phone service,Fiber optic,No,No internet service,No,No,Yes,No internet service,One year,Yes,Electronic check,102.74,2155.29,Yes
C100105,Male,1,No,No,30,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,51.09,1529.6,Yes
C100106,Female,1,Yes,No,61,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),24.9,1515.3,No
C100107,Male,1,No,No,70,Yes,No phone service,Fiber optic,Yes,No,No,No,No internet service,Yes,Two year,Yes,Credit card (automatic),70.41,4925.91,No
C100108,Male,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),96.77,6582.54,No
C100109,Female,0,No,No,20,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),26.72,531.77,No
C100110,Female,1,No,No,19,Yes,No,No,No,No,No internet service,No internet service,No internet service,No,One year,Yes,Mailed check,23.55,442.66,No
C100111,Male,0,No,No,12,Yes,No,DSL,No,Yes,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),117.33,1405.62,Yes
C100112,Male,0,Yes,No,72,Yes,No,DSL,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),26.37,1899.4,Yes
C100113,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,80.18,1444.82,No
C100114,Female,0,No,No,15,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),68.25,1023.01,Yes
C100115,Female,0,Yes,No,21,Yes,No,DSL,No internet service,No,Yes,Yes,No internet service,No,One year,Yes,Electronic check,94.07,1972.91,No
C100116,Female,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No internet service,Yes,One year,Yes,Electronic check,41.09,571.83,No
C100117,Male,0,Yes,No,67,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,80.31,5380.2,No
C100118,Male,0,No,Yes,11,Yes,No,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,72.48,798.67,No
C100119,Male,0,Yes,No,55,Yes,No phone service,No,No internet service,No,Yes,No internet service,No,No internet service,Two year,No,Credit card (automatic),95.65,5261.8,No
C100120,Male,1,Yes,No,56,Yes,No phone service,No,Yes,No,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),19.14,1070.99,No
C100121,Male,0,No,No,9,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),106.11,956.66,No
C100122,Male,0,Yes,No,66,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),71.11,4698.15,No
C100123,Female,0,No,No,51,Yes,No,No,No,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,83.0,4229.15,No
C100124,Female,0,No,Yes,1,Yes,No phone service,No,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.81,86.2,Yes
C100125,Male,1,No,No,7,Yes,No phone service,DSL,Yes,Yes,Yes,No,No internet service,No,One year,Yes,Credit card (automatic),28.82,206.35,No
C100126,Male,0,No,No,60,Yes,Yes,DSL,No,Yes,No,No,No internet service,Yes,One year,Yes,Electronic check,42.16,2527.7,No
C100127,Female,1,Yes,No,12,Yes,No,No,No internet service,Yes,No,No,No internet service,No internet service,One year,No,Credit card (automatic),87.7,1049.31,No
C100128,Male,0,No,Yes,20,No,No,DSL,No,No,Yes,No internet service,No internet service,Yes,One year,Yes,Electronic check,40.05,796.53,Yes
C100129,Female,0,No,Yes,26,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),91.16,2374.07,No
C100130,Male,0,No,Yes,42,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),84.14,3538.53,Yes
C100131,Female,0,No,No,14,Yes,No phone service,Fiber optic,No,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,50.98,709.83,Yes
C100132,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),69.25,272.21,Yes
C100133,Male,0,No,No,8,Yes,Yes,DSL,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,74.67,597.13,No
C100134,Female,0,Yes,No,61,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,49.48,3020.18,No
C100135,Female,0,Yes,No,38,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),25.04,953.09,No
C100136,Female,0,Yes,No,2,Yes,No,No,Yes,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),71.07,144.04,No
C100137,Female,0,Yes,No,46,Yes,No,No,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,99.92,4594.96,No
C100138,Male,0,No,No,22,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,One year,Yes,Mailed check,29.58,647.68,No
C100139,Male,0,Yes,No,39,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,75.21,2932.44,No
C100140,Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.65,5335.04,No
C100141,Male,0,Yes,Yes,43,Yes,No phone service,No,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,92.47,3980.53,No
C100142,Female,0,No,No,35,No,No,No,No,Yes,No,No internet service,No internet service,Yes,One year,No,Mailed check,101.46,3556.02,No
C100143,Male,0,Yes,No,4,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),85.28,339.41,Yes
C100144,Female,0,No,No,70,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,100.69,7045.71,Yes
C100145,Female,0,No,No,27,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,Two year,Yes,Credit card (automatic),104.83,2829.7,Yes
C100146,Male,0,Yes,No,54,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,30.94,1668.84,Yes
C100147,Female,0,Yes,No,32,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),75.89,2425.33,Yes
C100148,Female,0,No,No,66,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),112.02,7388.44,No
C100149,Female,0,No,No,30,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),41.04,1232.9,No
C100150,Female,0,Yes,Yes,23,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,87.33,2011.88,Yes
C100151,Male,1,No,No,66,Yes,Yes,No,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),49.06,3237.95,Yes
C100152,Female,0,Yes,Yes,9,Yes,No,DSL,Yes,Yes,No internet service,No,No internet service,No internet service,One year,No,Credit card (automatic),65.96,595.5,No
C100153,Female,1,No,No,36,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),94.8,3416.65,Yes
C100154,Female,1,No,No,8,Yes,No,No,No,No internet service,No internet service,No,No internet service,Yes,Two year,No,Electronic check,60.15,482.53,No
C100155,Female,0,No,No,53,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,33.56,1775.83,No
C100156,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.84,2321.24,No
C100157,Female,0,No,No,2,Yes,No,DSL,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,114.01,226.57,Yes
C100158,Male,0,No,No,12,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,111.81,1336.76,No
C100159,Male,0,No,No,70,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),42.32,2958.72,No
C100160,Male,0,Yes,No,46,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),106.87,4919.01,No
C100161,Male,0,No,Yes,17,Yes,No phone service,DSL,Yes,No internet service,No,Yes,Yes,No internet service,One year,No,Credit card (automatic),79.22,1349.54,No
C100162,Female,0,No,No,8,Yes,Yes,No,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),30.17,241.78,No
C100163,Female,0,Yes,No,57,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),78.6,4479.21,No
C100164,Male,1,Yes,Yes,42,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.78,2968.96,Yes
C100165,Male,0,No,No,7,No,No,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,One year,Yes,Mailed check,47.26,329.39,Yes
C100166,Female,0,No,Yes,48,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),63.78,3056.76,No
C100167,Male,0,No,Yes,68,No,No,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),93.12,6332.79,No
C100168,Male,0,Yes,Yes,28,Yes,No,DSL,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,111.95,3138.17,Yes
C100169,Male,0,No,No,59,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),72.73,4289.34,No
C100170,Male,0,Yes,No,66,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),49.95,3298.12,Yes
C100171,Male,0,Yes,No,33,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,114.93,3797.49,No
C100172,Male,1,Yes,Yes,38,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Mailed check,42.76,1626.87,No
